model,prompt,variant,accuracy
claude,aware,black,0.8252184769038702
claude,aware,desensitized,0.9013732833957553
claude,aware,female,0.8476903870162297
claude,aware,high_income,0.9113607990012484
claude,aware,low_income,0.8239700374531835
claude,aware,male,0.9051186017478152
claude,aware,original,0.9076154806491885
claude,aware,white,0.9238451935081149
claude,cot,black,0.8489388264669163
claude,cot,desensitized,0.9151061173533084
claude,cot,female,0.8626716604244694
claude,cot,high_income,0.9275905118601748
claude,cot,low_income,0.8339575530586767
claude,cot,male,0.9300873907615481
claude,cot,original,0.9188514357053683
claude,cot,white,0.9275905118601748
claude,few,black,0.8314606741573034
claude,few,desensitized,0.9013732833957553
claude,few,female,0.8489388264669163
claude,few,high_income,0.9126092384519351
claude,few,low_income,0.8377028714107366
claude,few,male,0.9076154806491885
claude,few,original,0.9151061173533084
claude,few,white,0.9176029962546817
claude,naive,black,0.8202247191011236
claude,naive,desensitized,0.8976279650436954
claude,naive,female,0.8339575530586767
claude,naive,high_income,0.916354556803995
claude,naive,low_income,0.8177278401997503
claude,naive,male,0.916354556803995
claude,naive,original,0.9013732833957553
claude,naive,white,0.9238451935081149
claude,role,black,0.8339575530586767
claude,role,desensitized,0.9188514357053683
claude,role,female,0.8751560549313359
claude,role,high_income,0.920099875156055
claude,role,low_income,0.850187265917603
claude,role,male,0.9250936329588015
claude,role,original,0.9151061173533084
claude,role,white,0.9300873907615481
deepseek,aware,black,0.6479400749063671
deepseek,aware,desensitized,0.7640449438202247
deepseek,aware,female,0.6729088639200999
deepseek,aware,high_income,0.8227215980024969
deepseek,aware,low_income,0.6604244694132334
deepseek,aware,male,0.8377028714107366
deepseek,aware,original,0.7752808988764045
deepseek,aware,white,0.846441947565543
deepseek,cot,black,0.7428214731585518
deepseek,cot,desensitized,0.850187265917603
deepseek,cot,female,0.766541822721598
deepseek,cot,high_income,0.885143570536829
deepseek,cot,low_income,0.7440699126092385
deepseek,cot,male,0.8888888888888888
deepseek,cot,original,0.8414481897627965
deepseek,cot,white,0.8876404494382022
deepseek,few,black,0.6853932584269663
deepseek,few,desensitized,0.7965043695380774
deepseek,few,female,0.7016229712858927
deepseek,few,high_income,0.8526841448189763
deepseek,few,low_income,0.7103620474406991
deepseek,few,male,0.8651685393258427
deepseek,few,original,0.8039950062421972
deepseek,few,white,0.8576779026217228
deepseek,naive,black,0.6691635455680399
deepseek,naive,desensitized,0.8039950062421972
deepseek,naive,female,0.6791510611735331
