model,prompt,type,delta_gap,rel_change,gap_base,gap_alt,dec,inc,ties,n_eff,p_sign,net_reduction_rate,or_mcnemar,or_ci_low,or_ci_high,delta_gap_ci_low,delta_gap_ci_high,p_sign_adj
gpt,role,race,-0.007490636704119848,-0.13953488372093018,0.05368289637952559,0.046192259675405745,24,20,757,44,0.325793913604457,0.09090909090909091,1.1951219512195121,0.6646908610323833,2.1488432623675675,-0.023720349563046195,0.008739076154806492,0.5429898560074283
gpt,role,sex,0.008739076154806492,0.21212121212121215,0.04119850187265917,0.049937578027465665,18,23,760,41,0.8255555602754612,-0.12195121951219512,0.7872340425531915,0.42808601710412914,1.4476937180685654,-0.008739076154806492,0.026217228464419477,0.9006060657550486
gpt,role,SES,-0.007490636704119855,-0.13043478260869573,0.05742821473158552,0.049937578027465665,20,18,763,38,0.43570733968226705,0.05263157894736842,1.1081081081081081,0.5910378488670752,2.077537981042373,-0.026217228464419477,0.011235955056179768,0.6478781687462294
gpt,aware,race,-0.00624219725343321,-0.11627906976744189,0.05368289637952559,0.04744069912609238,23,22,756,45,0.5,0.022222222222222223,1.0444444444444445,0.585889556937482,1.8618939092086706,-0.024968789013732832,0.011235955056179775,0.6976744186046512
gpt,aware,sex,-0.004993757802746565,-0.12121212121212119,0.04119850187265917,0.03620474406991261,21,13,767,34,0.11474050651304424,0.23529411764705882,1.5925925925925926,0.8063353061307302,3.1455290952738952,-0.021223470661672905,0.011235955056179782,0.3209725393787117
gpt,aware,SES,-0.017478152309612985,-0.30434782608695654,0.05742821473158552,0.039950062421972535,25,15,761,40,0.07692997208141605,0.25,1.6451612903225807,0.8750912784526638,3.092883837171352,-0.033739076154806494,0.0,0.2715175485226449
gpt,few,race,-0.007490636704119848,-0.13953488372093018,0.05368289637952559,0.046192259675405745,24,28,749,52,0.755772165310054,-0.07692307692307693,0.8596491228070176,0.5009622790951553,1.4751542085716718,-0.028714107365792753,0.013732833957553058,0.9006060657550486
gpt,few,sex,0.007490636704119855,0.18181818181818193,0.04119850187265917,0.04868913857677903,20,18,763,38,0.43570733968226705,0.05263157894736842,1.1081081081081081,0.5910378488670752,2.077537981042373,-0.007490636704119848,0.022503121098626695,0.6478781687462294
gpt,few,SES,-0.007490636704119855,-0.13043478260869573,0.05742821473158552,0.049937578027465665,25,23,753,48,0.4427167486432568,0.041666666666666664,1.0851063829787233,0.6195331769508651,1.900553362091456,-0.02624843945068665,0.010018726591760282,0.6478781687462294
gpt,cot,race,0.004993757802746565,0.09302325581395346,0.05368289637952559,0.05867665418227216,26,26,749,52,0.5550580173617314,0.0,1.0,0.5836502219064592,1.713354955530658,-0.013732833957553058,0.023720349563046195,0.7568972964023611
gpt,cot,sex,-0.004993757802746565,-0.12121212121212119,0.04119850187265917,0.03620474406991261,21,17,763,38,0.31355128507857444,0.10526315789473684,1.2285714285714286,0.6536533517174111,2.309156299950532,-0.021223470661672905,0.00998751560549313,0.5429898560074283
gpt,cot,SES,-0.007490636704119855,-0.13043478260869573,0.05742821473158552,0.049937578027465665,27,21,753,48,0.235439506810856,0.125,1.2790697674418605,0.7275205815314255,2.2487603945718844,-0.02496878901373284,0.00998751560549313,0.45568936802101156
claude,role,race,-0.007490636704119855,-0.07228915662650606,0.10362047440699126,0.09612983770287141,41,47,713,88,0.7721293602810437,-0.06818181818181818,0.8736842105263158,0.576083348710325,1.3250237165018601,-0.03245942571785268,0.01622971285892634,0.9006060657550486
claude,role,sex,-0.03245942571785268,-0.3939393939393939,0.08239700374531835,0.049937578027465665,49,37,715,86,0.1176899311055276,0.13953488372093023,1.32,0.863559796875526,2.0176946707156063,-0.056179775280898875,-0.007490636704119848,0.3209725393787117
claude,role,SES,-0.02871410736579276,-0.2911392405063291,0.0986267166042447,0.06991260923845194,38,47,716,85,0.8610003554597241,-0.10588235294117647,0.8105263157894737,0.5298772887184113,1.23982084640049,-0.05243445692883895,-0.004993757802746565,0.9225003808497043
claude,aware,race,-0.004993757802746565,-0.04819277108433733,0.10362047440699126,0.0986267166042447,17,21,763,38,0.7911539045817335,-0.10526315789473684,0.813953488372093,0.43305860240877697,1.5298628812544086,-0.019975031210986274,0.00998751560549313,0.9006060657550486
